Array size;Fill function;Pivot function;Time elapsed[s]
70000;Random;Begin;0.101
70000;Only 0 to 100 values;Begin;0.033
70000;Non-decreasing;Begin;1.731
80000;Random;Begin;0.122
80000;Only 0 to 100 values;Begin;0.038
80000;Non-decreasing;Begin;2.113
90000;Random;Begin;0.136
90000;Only 0 to 100 values;Begin;0.047
90000;Non-decreasing;Begin;2.528
100000;Random;Begin;0.163
100000;Only 0 to 100 values;Begin;0.045
100000;Non-decreasing;Begin;2.975
110000;Random;Begin;0.162
110000;Only 0 to 100 values;Begin;0.048
110000;Non-decreasing;Begin;3.411
120000;Random;Begin;0.182
120000;Only 0 to 100 values;Begin;0.051
120000;Non-decreasing;Begin;3.881
130000;Random;Begin;0.206
130000;Only 0 to 100 values;Begin;0.060
130000;Non-decreasing;Begin;4.393
140000;Random;Begin;0.218
140000;Only 0 to 100 values;Begin;0.060
140000;Non-decreasing;Begin;4.890
150000;Random;Begin;0.234
150000;Only 0 to 100 values;Begin;0.066
150000;Non-decreasing;Begin;5.432
160000;Random;Begin;0.246
160000;Only 0 to 100 values;Begin;0.066
160000;Non-decreasing;Begin;5.976
170000;Random;Begin;0.268
170000;Only 0 to 100 values;Begin;0.078
170000;Non-decreasing;Begin;6.549
180000;Random;Begin;0.291
180000;Only 0 to 100 values;Begin;0.091
180000;Non-decreasing;Begin;7.124
190000;Random;Begin;0.300
190000;Only 0 to 100 values;Begin;0.075
190000;Non-decreasing;Begin;7.733
200000;Random;Begin;0.324
200000;Only 0 to 100 values;Begin;0.088
200000;Non-decreasing;Begin;8.354
210000;Random;Begin;0.341
210000;Only 0 to 100 values;Begin;0.097
210000;Non-decreasing;Begin;8.978
220000;Random;Begin;0.352
220000;Only 0 to 100 values;Begin;0.092
220000;Non-decreasing;Begin;9.637
230000;Random;Begin;0.363
230000;Only 0 to 100 values;Begin;0.097
230000;Non-decreasing;Begin;10.293
240000;Random;Begin;0.403
240000;Only 0 to 100 values;Begin;0.128
240000;Non-decreasing;Begin;10.978
250000;Random;Begin;0.412
250000;Only 0 to 100 values;Begin;0.108
250000;Non-decreasing;Begin;11.660
260000;Random;Begin;0.414
260000;Only 0 to 100 values;Begin;0.144
260000;Non-decreasing;Begin;12.371
270000;Random;Begin;0.444
270000;Only 0 to 100 values;Begin;0.104
270000;Non-decreasing;Begin;13.087
280000;Random;Begin;0.449
280000;Only 0 to 100 values;Begin;0.130
280000;Non-decreasing;Begin;13.823
290000;Random;Begin;0.472
290000;Only 0 to 100 values;Begin;0.136
290000;Non-decreasing;Begin;14.579
300000;Random;Begin;0.494
300000;Only 0 to 100 values;Begin;0.146
300000;Non-decreasing;Begin;15.339
310000;Random;Begin;0.513
310000;Only 0 to 100 values;Begin;0.124
310000;Non-decreasing;Begin;16.118
320000;Random;Begin;0.523
320000;Only 0 to 100 values;Begin;0.142
320000;Non-decreasing;Begin;16.938
330000;Random;Begin;0.539
330000;Only 0 to 100 values;Begin;0.136
330000;Non-decreasing;Begin;17.728
340000;Random;Begin;0.587
340000;Only 0 to 100 values;Begin;0.178
