Array size,Fill function,Pivot function,Time elapsed[s]
420000,Non-decreasing,Begin,25.867
430000,Random,Begin,0.739
430000,Only 0 to 100 values,Begin,0.208
430000,Non-decreasing,Begin,26.753
440000,Random,Begin,0.738
440000,Only 0 to 100 values,Begin,0.198
440000,Non-decreasing,Begin,27.715
450000,Random,Begin,0.779
450000,Only 0 to 100 values,Begin,0.204
450000,Non-decreasing,Begin,28.636
460000,Random,Begin,0.765
460000,Only 0 to 100 values,Begin,0.187
460000,Non-decreasing,Begin,29.627
470000,Random,Begin,0.799
470000,Only 0 to 100 values,Begin,0.261
470000,Non-decreasing,Begin,30.617
480000,Random,Begin,0.828
480000,Only 0 to 100 values,Begin,0.223
480000,Non-decreasing,Begin,31.628
490000,Random,Begin,0.863
490000,Only 0 to 100 values,Begin,0.205
490000,Non-decreasing,Begin,32.535
500000,Random,Begin,0.864
500000,Only 0 to 100 values,Begin,0.219
500000,Non-decreasing,Begin,33.575
510000,Random,Begin,0.86
510000,Only 0 to 100 values,Begin,0.211
510000,Non-decreasing,Begin,34.607
520000,Random,Begin,0.94
520000,Only 0 to 100 values,Begin,0.232
520000,Non-decreasing,Begin,35.529
530000,Random,Begin,0.931
530000,Only 0 to 100 values,Begin,0.258
530000,Non-decreasing,Begin,36.575
540000,Random,Begin,0.933
540000,Only 0 to 100 values,Begin,0.239
540000,Non-decreasing,Begin,37.574
550000,Random,Begin,0.927
550000,Only 0 to 100 values,Begin,0.236
550000,Non-decreasing,Begin,38.64
560000,Random,Begin,0.987
560000,Only 0 to 100 values,Begin,0.223
560000,Non-decreasing,Begin,39.716
570000,Random,Begin,1.015
570000,Only 0 to 100 values,Begin,0.249
570000,Non-decreasing,Begin,40.766
580000,Random,Begin,0.991
580000,Only 0 to 100 values,Begin,0.26
580000,Non-decreasing,Begin,41.827
590000,Random,Begin,1.005
590000,Only 0 to 100 values,Begin,0.278
590000,Non-decreasing,Begin,42.943
600000,Random,Begin,1.088
600000,Only 0 to 100 values,Begin,0.255
600000,Non-decreasing,Begin,44.038
610000,Random,Begin,1.017
610000,Only 0 to 100 values,Begin,0.26
610000,Non-decreasing,Begin,45.137
620000,Random,Begin,1.048
620000,Only 0 to 100 values,Begin,0.315
620000,Non-decreasing,Begin,46.54
630000,Random,Begin,1.095
630000,Only 0 to 100 values,Begin,0.268
630000,Non-decreasing,Begin,47.447
640000,Random,Begin,1.078
640000,Only 0 to 100 values,Begin,0.279
640000,Non-decreasing,Begin,48.488
650000,Random,Begin,1.199
650000,Only 0 to 100 values,Begin,0.304
650000,Non-decreasing,Begin,49.623
660000,Random,Begin,1.118
660000,Only 0 to 100 values,Begin,0.297
660000,Non-decreasing,Begin,50.772
670000,Random,Begin,1.179
670000,Only 0 to 100 values,Begin,0.314
670000,Non-decreasing,Begin,51.97
