Array size;Fill function;Pivot function;Time elapsed[s]
42000;Only 0 to 100 values;Median of 7 elements;0.132
42000;Non-decreasing;Median of 7 elements;0.062
43000;Random;Median of 7 elements;0.068
43000;Only 0 to 100 values;Median of 7 elements;0.135
43000;Non-decreasing;Median of 7 elements;0.065
44000;Random;Median of 7 elements;0.070
44000;Only 0 to 100 values;Median of 7 elements;0.138
44000;Non-decreasing;Median of 7 elements;0.067
45000;Random;Median of 7 elements;0.072
45000;Only 0 to 100 values;Median of 7 elements;0.142
45000;Non-decreasing;Median of 7 elements;0.069
46000;Random;Median of 7 elements;0.073
46000;Only 0 to 100 values;Median of 7 elements;0.145
46000;Non-decreasing;Median of 7 elements;0.070
47000;Random;Median of 7 elements;0.076
47000;Only 0 to 100 values;Median of 7 elements;0.150
47000;Non-decreasing;Median of 7 elements;0.072
48000;Random;Median of 7 elements;0.076
48000;Only 0 to 100 values;Median of 7 elements;0.152
48000;Non-decreasing;Median of 7 elements;0.073
49000;Random;Median of 7 elements;0.077
49000;Only 0 to 100 values;Median of 7 elements;0.158
49000;Non-decreasing;Median of 7 elements;0.076
50000;Random;Median of 7 elements;0.079
50000;Only 0 to 100 values;Median of 7 elements;0.161
50000;Non-decreasing;Median of 7 elements;0.078
