Array size;Fill function;Pivot function;Time elapsed[s]
550;Random;Begin;0.000
550;Only 0 to 100 values;Begin;0.000
550;Non-decreasing;Begin;0.001
560;Random;Begin;0.000
560;Only 0 to 100 values;Begin;0.000
560;Non-decreasing;Begin;0.001
570;Random;Begin;0.001
570;Only 0 to 100 values;Begin;0.000
570;Non-decreasing;Begin;0.000
580;Random;Begin;0.001
580;Only 0 to 100 values;Begin;0.001
580;Non-decreasing;Begin;0.000
590;Random;Begin;0.001
590;Only 0 to 100 values;Begin;0.000
590;Non-decreasing;Begin;0.000
600;Random;Begin;0.000
600;Only 0 to 100 values;Begin;0.001
600;Non-decreasing;Begin;0.000
610;Random;Begin;0.000
610;Only 0 to 100 values;Begin;0.000
610;Non-decreasing;Begin;0.001
620;Random;Begin;0.000
620;Only 0 to 100 values;Begin;0.000
620;Non-decreasing;Begin;0.001
630;Random;Begin;0.001
630;Only 0 to 100 values;Begin;0.000
630;Non-decreasing;Begin;0.000
640;Random;Begin;0.000
640;Only 0 to 100 values;Begin;0.000
640;Non-decreasing;Begin;0.000
650;Random;Begin;0.001
650;Only 0 to 100 values;Begin;0.000
650;Non-decreasing;Begin;0.000
660;Random;Begin;0.000
660;Only 0 to 100 values;Begin;0.000
660;Non-decreasing;Begin;0.001
670;Random;Begin;0.000
670;Only 0 to 100 values;Begin;0.000
670;Non-decreasing;Begin;0.001
680;Random;Begin;0.001
680;Only 0 to 100 values;Begin;0.000
680;Non-decreasing;Begin;0.000
690;Random;Begin;0.000
690;Only 0 to 100 values;Begin;0.000
690;Non-decreasing;Begin;0.001
700;Random;Begin;0.000
700;Only 0 to 100 values;Begin;0.000
700;Non-decreasing;Begin;0.001
710;Random;Begin;0.000
710;Only 0 to 100 values;Begin;0.000
710;Non-decreasing;Begin;0.001
720;Random;Begin;0.001
720;Only 0 to 100 values;Begin;0.001
720;Non-decreasing;Begin;0.000
730;Random;Begin;0.000
730;Only 0 to 100 values;Begin;0.000
730;Non-decreasing;Begin;0.000
740;Random;Begin;0.000
740;Only 0 to 100 values;Begin;0.000
740;Non-decreasing;Begin;0.001
750;Random;Begin;0.001
750;Only 0 to 100 values;Begin;0.000
750;Non-decreasing;Begin;0.001
760;Random;Begin;0.001
760;Only 0 to 100 values;Begin;0.001
